track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
0,0,baya,0,0,0,VID_20220217_103846_F-1.png,590,214,0,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
0,1,baya,0,0,0,VID_20220217_103846_F3.png,347,344,0,0,0,-3831.33,5950.14,-1,-3954.2,6049.11,NULL,NULL
1,0,baya,-23.823,-11.9947,55.6834,VID_20220217_103846_F-1.png,297,221,0,0,0,306.273,227.133,11.1179,330.911,238.708,NULL,NULL
1,1,baya,-23.823,-11.9947,55.6834,VID_20220217_103846_F3.png,119,302,0,0,0,137.63,307.039,19.2995,127.718,332.665,NULL,NULL
2,0,baya,-20.4049,-12.7449,55.1782,VID_20220217_103846_F-1.png,390,201,0,0,0,395.404,204.821,6.61788,419.013,218.581,NULL,NULL
2,1,baya,-20.4049,-12.7449,55.1782,VID_20220217_103846_F3.png,177,303,0,0,0,190.849,307.702,14.6256,179.35,333.945,NULL,NULL
3,0,baya,-14.0878,-8.62203,53.7429,VID_20220217_103846_F-1.png,558,304,0,0,0,560.779,305.933,3.3854,585.156,319.855,NULL,NULL
3,1,baya,-14.0878,-8.62203,53.7429,VID_20220217_103846_F3.png,333,460,0,0,0,338.761,460.817,5.81894,323.983,486.279,NULL,NULL
4,0,baya,-19.0877,-11.1209,54.225,VID_20220217_103846_F-1.png,419,240,0,0,0,422.73,241.926,4.1983,447.206,255.232,NULL,NULL
4,1,baya,-19.0877,-11.1209,54.225,VID_20220217_103846_F3.png,201,363,0,0,0,213.009,366.681,12.5604,200.762,392.795,NULL,NULL
5,0,baya,0,0,0,VID_20220217_103846_F-1.png,449,214,0,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
5,1,baya,0,0,0,VID_20220217_103846_F3.png,231,336,0,0,0,-3831.33,5950.14,-1,-3954.2,6049.11,NULL,NULL
6,0,baya,-21.2288,-11.916,54.6008,VID_20220217_103846_F-1.png,360,219,0,0,0,366.221,223.078,7.43837,390.752,235.927,NULL,NULL
6,1,baya,-21.2288,-11.916,54.6008,VID_20220217_103846_F3.png,152,328,0,0,0,167.267,332.284,15.8565,156.088,358.441,NULL,NULL
