,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0,3,11,60,10,2,0.004165085808930491,0.1,4.0
0,3,11,61,8,2,0.0402823136764483,0.1,4.0
0,4,9,4,9,7,0.058560356334532535,0.1,4.0
0,4,9,5,19,2,0.11710091948381018,0.1,4.0
0,4,9,6,11,2,0.03314415912192492,0.1,4.0
0,4,9,7,18,2,0.05773362443122465,0.1,4.0
0,4,9,8,18,0,inf,0.1,4.0
0,4,9,9,15,2,0.06073243595979183,0.1,4.0
0,4,9,10,14,2,0.09275235863869957,0.1,4.0
0,4,9,11,21,3,0.042890488968939086,0.1,4.0
0,4,9,12,18,0,inf,0.1,4.0
0,4,9,13,16,3,0.06591712161537981,0.1,4.0
0,4,9,14,7,2,0.0686586266484075,0.1,4.0
0,4,9,15,12,2,0.05460970853459346,0.1,4.0
0,4,9,16,15,3,0.06411981858062693,0.1,4.0
0,4,9,17,14,2,0.05210450204982414,0.1,4.0
0,4,9,18,13,2,0.0807120778750372,0.1,4.0
0,4,9,19,13,2,0.10378970663831322,0.1,4.0
0,4,9,20,8,2,0.04581939037916882,0.1,4.0
0,4,9,21,9,2,0.11938727023747325,0.1,4.0
0,4,9,22,9,2,0.07107017392043546,0.1,4.0
0,4,9,23,17,2,0.07405760174654785,0.1,4.0
0,4,9,24,8,2,0.039864694611080775,0.1,4.0
0,4,9,25,15,2,0.08818075954388832,0.1,4.0
0,4,9,26,7,2,0.0795392635356853,0.1,4.0
0,4,9,27,7,2,0.035947669141350946,0.1,4.0
0,4,9,28,7,3,0.06865629230399375,0.1,4.0
0,4,9,29,15,0,inf,0.1,4.0
0,4,9,30,8,0,inf,0.1,4.0
0,4,9,31,14,2,0.02326827771433604,0.1,4.0
0,4,9,32,18,2,0.022578889056209972,0.1,4.0
0,4,9,33,11,2,0.05409614626065817,0.1,4.0
0,4,9,34,10,2,0.07801020226896593,0.1,4.0
0,4,9,35,11,2,0.04833598984726584,0.1,4.0
0,4,9,36,15,2,0.059599016121179904,0.1,4.0
0,4,9,37,12,2,0.07139524093680227,0.1,4.0
0,4,9,38,10,0,inf,0.1,4.0
0,4,9,39,11,2,0.0631874063731046,0.1,4.0
0,4,9,40,14,2,0.03922629117716292,0.1,4.0
0,4,9,41,11,2,0.11307360906162284,0.1,4.0
0,4,9,42,17,2,0.03175608815809505,0.1,4.0
0,4,9,43,15,2,0.03984764334131269,0.1,4.0
0,4,9,44,17,2,0.030509560134440727,0.1,4.0
0,4,9,45,18,3,0.09453552324521096,0.1,4.0
0,4,9,46,11,2,0.06610516151247214,0.1,4.0
0,4,9,47,11,2,0.0535858617527023,0.1,4.0
0,4,9,48,10,2,0.09448800161391302,0.1,4.0
0,4,9,49,8,2,0.024917592435577396,0.1,4.0
0,4,9,50,18,3,0.017719145787507877,0.1,4.0
0,4,9,51,14,2,0.07162922199636634,0.1,4.0
0,4,9,52,14,2,0.010540590727689092,0.1,4.0
0,4,9,53,16,2,0.06542252550485683,0.1,4.0
0,4,9,54,7,0,inf,0.1,4.0
0,4,9,55,10,2,0.05384907233667208,0.1,4.0
0,4,9,56,13,2,0.10452699480863137,0.1,4.0
0,4,9,57,11,2,0.026562101978589436,0.1,4.0
0,4,9,58,8,2,0.0015407495309709418,0.1,4.0
0,4,9,59,16,2,0.05233531919353457,0.1,4.0
0,4,9,60,10,2,0.017054018333280352,0.1,4.0
0,4,9,61,8,2,0.06943484827359447,0.1,4.0
0,5,19,5,19,9,0.048392248620432475,0.1,4.0
0,5,19,6,11,2,0.10847324012076931,0.1,4.0
0,5,19,7,18,3,0.03498933020142171,0.1,4.0
0,5,19,8,18,0,inf,0.1,4.0
0,5,19,9,15,3,0.013122359846293823,0.1,4.0
0,5,19,10,14,2,0.04799354388196142,0.1,4.0
0,5,19,11,21,3,0.029694247372048923,0.1,4.0
0,5,19,12,18,0,inf,0.1,4.0
0,5,19,13,16,2,0.0913657618620704,0.1,4.0
0,5,19,14,7,2,0.03387785343716876,0.1,4.0
0,5,19,15,12,2,0.04792677155098274,0.1,4.0
0,5,19,16,15,3,0.03007992624746861,0.1,4.0
0,5,19,17,14,3,0.03394112368539338,0.1,4.0
0,5,19,18,13,3,0.09236484027205263,0.1,4.0
0,5,19,19,13,2,0.0012532265527370745,0.1,4.0
0,5,19,20,8,2,0.056717089706407375,0.1,4.0
0,5,19,21,9,2,0.022230129005220978,0.1,4.0
0,5,19,22,9,2,0.031466306165140734,0.1,4.0
0,5,19,23,17,3,0.03280644125715692,0.1,4.0
0,5,19,24,8,2,0.10175270463161346,0.1,4.0
