,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,overlap,label,rmse,radio,giros
26,VID_20220217_131129_mod4_0_22.ply,54,VID_20220217_154128_mod6_1_15.ply,67,3,0,False,0.00018720518242693737,0.2,8.0
27,VID_20220217_131129_mod4_0_22.ply,54,VID_20220217_153655_mod4_0_24.ply,32,3,0,False,0.01383050611388677,0.2,8.0
28,VID_20220217_131129_mod4_0_22.ply,54,VID_20220217_182816_mod4_0_23.ply,75,3,0,False,0.03414623125429947,0.2,8.0
29,VID_20220217_131129_mod4_0_22.ply,54,VID_20220217_165020_mod4_0_24.ply,34,3,0,False,7.139468814825343e-06,0.2,8.0
30,VID_20220217_101324_mod4_0_23.ply,52,VID_20220217_131129_mod6_0_15.ply,51,6,0,False,0.007310018316814146,0.2,8.0
31,VID_20220217_101324_mod4_0_23.ply,52,VID_20220217_131129_mod8_0_11.ply,46,5,0,False,0.00013705332198938092,0.2,8.0
32,VID_20220217_101324_mod4_0_23.ply,52,VID_20220217_134059_mod4_0_21.ply,70,7,0,False,0.013031707607173827,0.2,8.0
33,VID_20220217_101324_mod4_0_23.ply,52,VID_20220217_134059_mod6_0_14.ply,63,6,0,False,0.010559450488538543,0.2,8.0
34,VID_20220217_101324_mod4_0_23.ply,52,VID_20220217_134059_mod8_0_11.ply,60,6,0,False,0.0018262787460052252,0.2,8.0
35,VID_20220217_101324_mod4_0_23.ply,52,VID_20220217_153655_mod6_0_16.ply,30,5,0,False,0.010233258285039877,0.2,8.0
36,VID_20220217_101324_mod4_0_23.ply,52,VID_20220217_153655_mod8_0_12.ply,30,5,0,False,0.018899447409662012,0.2,8.0
37,VID_20220217_101324_mod4_0_23.ply,52,VID_20220217_153655_mod4_0_24.ply,32,5,0,False,0.024253347375807265,0.2,8.0
38,VID_20220217_101324_mod6_0_15.ply,52,VID_20220217_131129_mod6_0_15.ply,51,5,0,False,0.008484748083664622,0.2,8.0
39,VID_20220217_101324_mod6_0_15.ply,52,VID_20220217_131129_mod8_0_11.ply,46,5,0,False,0.0004806277508864576,0.2,8.0
40,VID_20220217_101324_mod6_0_15.ply,52,VID_20220217_134059_mod4_0_21.ply,70,6,0,False,0.027087736348491476,0.2,8.0
41,VID_20220217_101324_mod6_0_15.ply,52,VID_20220217_134059_mod6_0_14.ply,63,5,0,False,0.00807794969265088,0.2,8.0
42,VID_20220217_101324_mod6_0_15.ply,52,VID_20220217_134059_mod8_0_11.ply,60,5,0,False,0.0008077776726606089,0.2,8.0
43,VID_20220217_101324_mod6_0_15.ply,52,VID_20220217_153655_mod6_0_16.ply,30,5,0,False,0.0065945317489999045,0.2,8.0
44,VID_20220217_101324_mod6_0_15.ply,52,VID_20220217_153655_mod8_0_12.ply,30,4,0,False,0.01261718012646771,0.2,8.0
45,VID_20220217_101324_mod6_0_15.ply,52,VID_20220217_153655_mod4_0_24.ply,32,5,0,False,0.021764711838518427,0.2,8.0
46,VID_20220217_101324_mod8_0_12.ply,52,VID_20220217_131129_mod6_0_15.ply,51,5,0,False,0.005279583201431389,0.2,8.0
47,VID_20220217_101324_mod8_0_12.ply,52,VID_20220217_131129_mod8_0_11.ply,46,5,0,False,0.0001269799907697952,0.2,8.0
48,VID_20220217_101324_mod8_0_12.ply,52,VID_20220217_134059_mod4_0_21.ply,70,5,0,False,0.008569137750603474,0.2,8.0
49,VID_20220217_101324_mod8_0_12.ply,52,VID_20220217_134059_mod6_0_14.ply,63,5,0,False,0.006190020386541685,0.2,8.0
50,VID_20220217_101324_mod8_0_12.ply,52,VID_20220217_134059_mod8_0_11.ply,60,5,0,False,0.0009977009975161576,0.2,8.0
51,VID_20220217_101324_mod8_0_12.ply,52,VID_20220217_153655_mod6_0_16.ply,30,5,0,False,0.006388326423541687,0.2,8.0
52,VID_20220217_101324_mod8_0_12.ply,52,VID_20220217_153655_mod8_0_12.ply,30,4,0,False,0.008943207371925102,0.2,8.0
53,VID_20220217_101324_mod8_0_12.ply,52,VID_20220217_153655_mod4_0_24.ply,32,5,0,False,0.015076083919142166,0.2,8.0
54,VID_20220217_124116_mod4_0_24.ply,80,VID_20220217_131129_mod6_0_15.ply,51,4,0,False,0.0035236713757859288,0.2,8.0
55,VID_20220217_124116_mod4_0_24.ply,80,VID_20220217_131129_mod8_0_11.ply,46,3,0,False,4.194871494278506e-06,0.2,8.0
