,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,label,rmse,radio,giros
0,VID_20220217_101324_mod4_1_23.ply,18,VID_20220217_101324_mod4_1_8.ply,32,3,True,0.01915290695529695,0.1,8.0
0,VID_20220217_101324_mod4_1_23.ply,18,VID_20220217_101324_mod4_12_23.ply,21,8,True,0.00410927102955959,0.1,8.0
0,VID_20220217_101324_mod4_1_23.ply,18,VID_20220217_101324_mod4_3_13.ply,26,6,True,0.004035010845556313,0.1,8.0
0,VID_20220217_101324_mod4_1_23.ply,18,VID_20220217_101324_mod4_10_16.ply,21,4,True,0.0038855549643514124,0.1,8.0
0,VID_20220217_101324_mod4_1_23.ply,18,VID_20220217_101324_mod4_6_23.ply,17,8,True,0.004909910616291336,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_1_23.ply,18,3,True,0.0015286577071823965,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_5_21.ply,21,21,True,1.099237132526455e-16,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_7_15.ply,21,3,True,0.0010590714249181935,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_3_17.ply,20,3,True,0.0006764175668417928,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_8_15.ply,23,3,True,0.0030930826032991784,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_2_15.ply,21,5,True,0.0027691627450265473,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_18_24.ply,27,3,True,0.006962673855915723,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_5_18.ply,22,8,True,0.002765198700367056,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_2_23.ply,16,3,True,0.0006498517537437363,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_11_22.ply,18,5,True,0.006987638988974583,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_11_24.ply,18,3,True,0.0032694972866392155,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_10_24.ply,19,6,True,0.004587660109259892,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_3_21.ply,21,16,True,0.0033126853789299075,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_2_19.ply,17,3,True,0.0019980436364207366,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_10_21.ply,21,7,True,0.006074323917343729,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_1_8.ply,32,3,True,0.0068426566433715166,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_12_23.ply,21,3,True,0.0035319346518348092,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_3_13.ply,26,3,True,0.0012267012738394099,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_10_16.ply,21,3,True,0.002105222619404346,0.1,8.0
0,VID_20220217_101324_mod4_5_21.ply,21,VID_20220217_101324_mod4_6_23.ply,17,3,True,0.0008594568077161904,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_1_23.ply,18,3,True,0.0014613676602487592,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_5_21.ply,21,3,True,0.0014857820091253849,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_7_15.ply,21,21,True,1.5501675563332667e-16,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_3_17.ply,20,7,True,0.0021223837107545982,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_8_15.ply,23,10,True,0.0036122304689702157,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_2_15.ply,21,4,True,0.002455707800180107,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_18_24.ply,27,4,True,0.01062328054460344,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_5_18.ply,22,4,True,0.0029825865627332755,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_2_23.ply,16,3,True,0.003016026831353558,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_11_22.ply,18,3,True,0.0009472124694206558,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_11_24.ply,18,3,True,0.0028244932349422835,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_10_24.ply,19,3,True,0.00372283801600916,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_3_21.ply,21,5,True,0.0027241035102827703,0.1,8.0
0,VID_20220217_101324_mod4_7_15.ply,21,VID_20220217_101324_mod4_2_19.ply,17,3,True,0.0005114337478356143,0.1,8.0
