,subnube1,tamaño_subnube1,subnube2,tamaño_subnube2,matcheos,overlap,rmse,radio,giros,nube_completa
93,1.0,5.0,5.0,5.0,3.0,4.0,0.2259673580427358,0.4,4.0,14.0
94,1.0,5.0,5.0,5.0,4.0,4.0,0.30666026107390026,0.5,4.0,14.0
95,1.0,5.0,5.0,5.0,5.0,4.0,0.5321720733745825,1.0,4.0,14.0
96,1.0,5.0,6.0,5.0,4.0,4.0,1.2197773900852125e-15,0.1,4.0,14.0
97,1.0,5.0,6.0,5.0,4.0,4.0,9.676506629962104e-16,0.2,4.0,14.0
98,1.0,5.0,6.0,5.0,4.0,4.0,9.676506629962104e-16,0.3,4.0,14.0
99,1.0,5.0,6.0,5.0,4.0,4.0,1.2197773900852125e-15,0.4,4.0,14.0
100,1.0,5.0,6.0,5.0,4.0,4.0,9.676506629962104e-16,0.5,4.0,14.0
101,1.0,5.0,6.0,5.0,5.0,4.0,0.6301111044402946,1.0,4.0,14.0
102,1.0,5.0,7.0,6.0,2.0,4.0,0.0753712387623966,0.1,4.0,14.0
103,1.0,5.0,7.0,6.0,2.0,4.0,0.0753712387623966,0.2,4.0,14.0
104,1.0,5.0,7.0,6.0,3.0,4.0,0.16165337699517007,0.3,4.0,14.0
105,1.0,5.0,7.0,6.0,3.0,4.0,0.22596735804273577,0.4,4.0,14.0
106,1.0,5.0,7.0,6.0,4.0,4.0,0.30666026107390004,0.5,4.0,14.0
107,1.0,5.0,7.0,6.0,5.0,4.0,0.5321720733745822,1.0,4.0,14.0
108,1.0,5.0,8.0,6.0,4.0,4.0,1.3378851088297846e-15,0.1,4.0,14.0
109,1.0,5.0,8.0,6.0,4.0,4.0,1.3378851088297846e-15,0.2,4.0,14.0
110,1.0,5.0,8.0,6.0,4.0,4.0,1.3378851088297848e-15,0.3,4.0,14.0
111,1.0,5.0,8.0,6.0,4.0,4.0,1.3378851088297846e-15,0.4,4.0,14.0
112,1.0,5.0,8.0,6.0,4.0,4.0,9.71730330838472e-16,0.5,4.0,14.0
113,1.0,5.0,8.0,6.0,5.0,4.0,0.7706639214898287,1.0,4.0,14.0
114,1.0,5.0,9.0,6.0,4.0,4.0,7.813662565404872e-16,0.1,4.0,14.0
115,1.0,5.0,9.0,6.0,4.0,4.0,8.8685843085534735e-16,0.2,4.0,14.0
116,1.0,5.0,9.0,6.0,4.0,4.0,8.8685843085534735e-16,0.3,4.0,14.0
117,1.0,5.0,9.0,6.0,4.0,4.0,7.030256969703949e-16,0.4,4.0,14.0
118,1.0,5.0,9.0,6.0,4.0,4.0,0.3066602610738998,0.5,4.0,14.0
119,1.0,5.0,9.0,6.0,5.0,4.0,0.7706639214898282,1.0,4.0,14.0
120,1.0,5.0,10.0,6.0,4.0,4.0,2.555130338134412e-16,0.1,4.0,14.0
121,1.0,5.0,10.0,6.0,4.0,4.0,2.555130338134412e-16,0.2,4.0,14.0
122,1.0,5.0,10.0,6.0,4.0,4.0,2.5548830562444824e-16,0.3,4.0,14.0
123,1.0,5.0,10.0,6.0,4.0,4.0,2.555130338134412e-16,0.4,4.0,14.0
124,1.0,5.0,10.0,6.0,4.0,4.0,2.555130338134412e-16,0.5,4.0,14.0
