,racimo_id,avg_vol,avg_vol_anynan,nan_counts,no_nan_counts,val_1,val_2,val_dist
32,VID_20220217_111141,,,11,0,1.39075,8.03493,2
33,VID_20220217_111321,3.798605432998707,,4,28,1.89795,1.93969,2
34,VID_20220217_101731,2.610750335634975,,16,31,1.907,1.92703,2
35,VID_20220217_101111,2.9022847380948047,,13,34,1.84902,1.88111,2
36,VID_20220217_102701,3.248918944498737,,5,12,1.92973,1.96926,2
37,VID_20220217_105017,1.9202167615039143,,6,22,1.84086,1.88512,2
38,VID_20220217_102806,2.968650844958845,,13,21,1.74494,1.8487,2
39,VID_20220217_104334,2.8766503720172274,,10,16,1.83284,1.89847,2
40,VID_20220217_103734,246.02835430594916,,18,1,2.04708,2.03298,2
41,VID_20220217_104715,2.3978692131081023,,5,15,1.83652,1.87256,2
42,VID_20220217_105846,3.3718040575016714,,10,24,1.86743,1.92026,2
43,VID_20220217_103648,2.433435256109016,,6,18,2.09525,2.0198,2
44,VID_20220217_104646,2.1403783072853733,,2,14,1.86156,1.91667,2
45,VID_20220217_104609,2.437932182861982,,6,15,1.93135,1.96675,2
46,VID_20220217_102613,2.5730268288715807,,6,15,1.7749,1.86883,2
47,VID_20220217_104507,3.143523457479876e-05,,6,12,0.0384551,0.0399288,2
48,VID_20220217_104205,3.25717027000001e-05,,18,37,0.041072,0.0419107,2
49,VID_20220217_103544,2.926721901975016,,5,22,1.93374,1.95011,2
50,VID_20220217_103801,1.8807167724248675,,4,14,2.11461,2.07939,2
51,VID_20220217_111049,2.1996909424710123,,8,22,1.91381,1.91468,2
52,VID_20220217_104408,3.957582764543047,,14,30,1.91405,1.98094,2
53,VID_20220217_102436,2.4583734161729005,,9,24,1.88181,1.90523,2
54,VID_20220217_102002,2.352117838927955,,1,16,1.83531,1.88936,2
55,VID_20220217_105252,2.83295781183685,,6,18,1.83931,1.87628,2
56,VID_20220217_103823,3.089195562170721,,11,29,1.89282,1.92152,2
57,VID_20220217_111957,3.664309336910705,,13,22,1.80051,1.86656,2
58,VID_20220217_111205,3.294923603944545,,5,13,1.92096,1.96496,2
59,VID_20220217_103503,2.291107455120639,,8,23,1.88754,1.92683,2
60,VID_20220217_105956,2.3767137539825933,,7,29,1.89761,1.89789,2
61,VID_20220217_101420,5.83924086266504e-05,,6,16,0.0549048,0.0568121,2
62,VID_20220217_111606,2.2943939315239916,,8,18,1.90595,1.96422,2
63,VID_20220217_112402,2.001375004296397,,9,25,1.82908,1.9103,2
64,VID_20220217_102904,2.526440730151875,,15,26,1.85814,53.0364,2
65,VID_20220217_105816,2.257986118670604,,6,21,2.13914,2.06952,2
66,VID_20220217_102220,2.7539073118609827,,9,14,1.8839,1.91461,2
67,VID_20220217_105213,1.8160769842907847,,4,20,1.82557,1.87658,2
68,VID_20220217_103042,2.560750098793523,,12,23,1.835,1.86657,2
69,VID_20220217_104904,2.5458975527172005,,4,11,1.89167,1.96014,2
70,VID_20220217_112149,3.365215024551527,,10,26,1.86066,1.94735,2
71,VID_20220217_111228,3.384851282603685,,5,12,1.88569,1.95801,2
72,VID_20220217_105612,3.123175575855422,,11,29,1.88724,1.94725,2
73,VID_20220217_111016,3.1039119330076788,,9,20,1.83659,1.86952,2
74,VID_20220217_103942,3.063673357597231,,7,23,1.86105,1.88288,2
