,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0,0,32,55,24,3,0.04690984336835831,0.1,4.0
0,0,32,56,12,3,0.018834818006051253,0.1,4.0
0,0,32,57,7,2,0.08476519174842878,0.1,4.0
0,0,32,58,20,3,0.06657779189769014,0.1,4.0
0,0,32,59,24,3,0.06504840286061511,0.1,4.0
0,0,32,60,12,3,0.04485039317091794,0.1,4.0
0,0,32,61,24,3,0.09738858316022703,0.1,4.0
0,0,32,62,27,3,0.053520243387915424,0.1,4.0
0,0,32,63,15,2,0.03809431127342289,0.1,4.0
0,0,32,64,16,3,0.03221376373094086,0.1,4.0
0,0,32,65,17,3,0.0231056075014242,0.1,4.0
0,0,32,66,13,3,0.05427511788993964,0.1,4.0
0,0,32,67,19,0,inf,0.1,4.0
0,0,32,68,19,3,0.059241026099514406,0.1,4.0
0,0,32,69,17,3,0.0976357642708208,0.1,4.0
0,0,32,70,22,3,0.021273926613158748,0.1,4.0
0,0,32,71,13,2,0.11487395926973987,0.1,4.0
0,0,32,72,18,2,0.07024334721780567,0.1,4.0
0,0,32,73,22,3,0.01423607327953055,0.1,4.0
0,0,32,74,19,3,0.109413420714665,0.1,4.0
0,0,32,75,14,3,0.1038986441301805,0.1,4.0
0,0,32,76,12,2,0.10147604366161334,0.1,4.0
0,0,32,77,14,2,0.04848862942745824,0.1,4.0
0,0,32,78,12,2,0.1372682429818286,0.1,4.0
0,0,32,79,16,3,0.04490213527874567,0.1,4.0
0,0,32,80,17,3,0.07465917201168012,0.1,4.0
0,0,32,81,9,3,0.04845168128060629,0.1,4.0
0,0,32,82,5,2,0.05351391541800499,0.1,4.0
0,0,32,83,17,3,0.023771091698083446,0.1,4.0
0,0,32,84,17,3,0.025036380569413715,0.1,4.0
0,0,32,85,21,3,0.06086473855261413,0.1,4.0
0,0,32,86,12,2,0.034517394056760575,0.1,4.0
0,0,32,87,37,4,0.04895896759367505,0.1,4.0
0,0,32,88,16,3,0.09366029565547924,0.1,4.0
0,0,32,89,17,2,0.05896149222816138,0.1,4.0
0,0,32,90,18,2,0.12857270446438807,0.1,4.0
0,0,32,91,36,3,0.04831540579325183,0.1,4.0
0,0,32,92,6,2,0.1277503697841078,0.1,4.0
0,0,32,93,17,3,0.06672864798647181,0.1,4.0
0,0,32,94,14,2,0.09725764594848418,0.1,4.0
0,0,32,95,18,3,0.04287489999805272,0.1,4.0
0,0,32,96,25,3,0.017637133007050193,0.1,4.0
0,0,32,97,10,2,0.10399559114955936,0.1,4.0
0,0,32,98,15,3,0.0851482784461556,0.1,4.0
0,1,13,1,13,11,0.08112110777538331,0.1,4.0
0,1,13,2,16,0,inf,0.1,4.0
0,1,13,3,13,3,0.033589948968698546,0.1,4.0
0,1,13,4,18,2,0.021415793873370947,0.1,4.0
0,1,13,5,30,3,0.09482748120399705,0.1,4.0
0,1,13,6,31,3,0.033140496760950815,0.1,4.0
0,1,13,7,21,3,0.022135674724684952,0.1,4.0
0,1,13,8,23,0,inf,0.1,4.0
0,1,13,9,16,3,0.0700397089438734,0.1,4.0
0,1,13,10,14,2,0.03103400447836191,0.1,4.0
0,1,13,11,15,2,0.07192686307222496,0.1,4.0
0,1,13,12,18,3,0.07361330227686662,0.1,4.0
0,1,13,13,16,3,0.027792679556945248,0.1,4.0
0,1,13,14,23,3,0.06268429632289158,0.1,4.0
0,1,13,15,12,2,0.08856641957397293,0.1,4.0
0,1,13,16,14,2,0.04200656396494706,0.1,4.0
0,1,13,17,12,2,0.0200404671965575,0.1,4.0
0,1,13,18,23,3,0.09971160579704151,0.1,4.0
0,1,13,19,17,3,0.0684593598714587,0.1,4.0
0,1,13,20,27,3,0.01082734105535052,0.1,4.0
0,1,13,21,27,3,0.06649202790116975,0.1,4.0
0,1,13,22,20,3,0.06603686658457218,0.1,4.0
0,1,13,23,13,2,0.08794646757262331,0.1,4.0
0,1,13,24,11,2,0.10233524190443138,0.1,4.0
0,1,13,25,20,2,0.06890688264321443,0.1,4.0
0,1,13,26,13,2,0.0016476113380750057,0.1,4.0
0,1,13,27,11,2,0.018952714811907356,0.1,4.0
0,1,13,28,22,3,0.04170029921551275,0.1,4.0
0,1,13,29,26,3,0.040037220432568486,0.1,4.0
0,1,13,30,18,2,0.05509775643327364,0.1,4.0
0,1,13,31,21,3,0.06080208042830257,0.1,4.0
0,1,13,32,14,3,0.09979977162996251,0.1,4.0
0,1,13,33,27,0,inf,0.1,4.0
0,1,13,34,25,3,0.06513946482342264,0.1,4.0
0,1,13,35,15,2,0.09372641227712364,0.1,4.0
0,1,13,36,24,3,0.035055147304185075,0.1,4.0
0,1,13,37,27,2,0.07967648041608871,0.1,4.0
0,1,13,38,21,2,0.05808203233371523,0.1,4.0
0,1,13,39,39,3,0.03170357622194751,0.1,4.0
0,1,13,40,16,3,0.07775935037104223,0.1,4.0
0,1,13,41,13,2,0.06270737231432594,0.1,4.0
0,1,13,42,15,2,0.10673939045228253,0.1,4.0
0,1,13,43,30,2,0.08061352223016655,0.1,4.0
0,1,13,44,19,3,0.05519460377184463,0.1,4.0
0,1,13,45,12,3,0.09895849290934951,0.1,4.0
0,1,13,46,15,2,0.030847627957457213,0.1,4.0
