nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
1.0,13.0,59.0,19.0,9.0,0.6972211490438158,1.0,4.0
1.0,13.0,60.0,22.0,11.0,0.8168128948817632,1.0,4.0
1.0,13.0,61.0,29.0,11.0,0.8502132275238676,1.0,4.0
1.0,13.0,62.0,17.0,10.0,0.8300178778214627,1.0,4.0
1.0,13.0,63.0,27.0,10.0,0.6732254461151532,1.0,4.0
1.0,13.0,64.0,21.0,11.0,0.8280450386967346,1.0,4.0
1.0,13.0,65.0,24.0,11.0,0.7502219768114594,1.0,4.0
1.0,13.0,66.0,23.0,11.0,0.7627611983194452,1.0,4.0
1.0,13.0,67.0,29.0,11.0,0.8040377147965483,1.0,4.0
1.0,13.0,68.0,21.0,10.0,0.949676172693031,1.0,4.0
1.0,13.0,69.0,20.0,11.0,0.6801464325328552,1.0,4.0
1.0,13.0,70.0,20.0,11.0,0.8537947618659522,1.0,4.0
1.0,13.0,71.0,22.0,10.0,0.8275790368854046,1.0,4.0
1.0,13.0,72.0,24.0,12.0,0.8733606811479115,1.0,4.0
1.0,13.0,73.0,13.0,11.0,0.8604211254295352,1.0,4.0
1.0,13.0,74.0,12.0,9.0,0.8881330473006925,1.0,4.0
1.0,13.0,75.0,23.0,11.0,0.8666368153178179,1.0,4.0
1.0,13.0,76.0,28.0,11.0,0.7981578446990981,1.0,4.0
1.0,13.0,77.0,24.0,10.0,0.8053868355712578,1.0,4.0
1.0,13.0,78.0,25.0,11.0,0.7550146829792814,1.0,4.0
1.0,13.0,79.0,11.0,10.0,0.8312169564145606,1.0,4.0
1.0,13.0,80.0,11.0,11.0,0.8516147342545207,1.0,4.0
1.0,13.0,81.0,18.0,11.0,0.8408814790015531,1.0,4.0
1.0,13.0,82.0,19.0,10.0,0.8548093773817684,1.0,4.0
1.0,13.0,83.0,22.0,11.0,0.7606745305387062,1.0,4.0
1.0,13.0,84.0,20.0,11.0,0.7841103505493956,1.0,4.0
1.0,13.0,85.0,43.0,11.0,0.8826794984925549,1.0,4.0
1.0,13.0,86.0,19.0,11.0,0.8054259821826554,1.0,4.0
1.0,13.0,87.0,27.0,10.0,0.7369012748159492,1.0,4.0
1.0,13.0,88.0,22.0,10.0,0.8932505889524955,1.0,4.0
1.0,13.0,89.0,30.0,11.0,0.7597066765585313,1.0,4.0
1.0,13.0,90.0,14.0,8.0,0.7935520678256957,1.0,4.0
1.0,13.0,91.0,26.0,12.0,0.773514244980907,1.0,4.0
1.0,13.0,92.0,21.0,10.0,0.7872021041078432,1.0,4.0
1.0,13.0,93.0,24.0,11.0,0.8553146627522866,1.0,4.0
1.0,13.0,94.0,29.0,11.0,0.7835717719900992,1.0,4.0
1.0,13.0,95.0,13.0,11.0,0.7691765963936229,1.0,4.0
1.0,13.0,96.0,25.0,12.0,0.7301673631662154,1.0,4.0
2.0,16.0,0.0,34.0,0.0,inf,1.0,4.0
2.0,16.0,1.0,13.0,0.0,inf,1.0,4.0
2.0,16.0,2.0,16.0,16.0,0.010830485400695092,1.0,4.0
2.0,16.0,3.0,12.0,0.0,inf,1.0,4.0
2.0,16.0,4.0,19.0,0.0,inf,1.0,4.0
2.0,16.0,5.0,29.0,0.0,inf,1.0,4.0
2.0,16.0,6.0,31.0,0.0,inf,1.0,4.0
2.0,16.0,7.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,8.0,24.0,9.0,0.01707750693326126,1.0,4.0
2.0,16.0,9.0,16.0,0.0,inf,1.0,4.0
2.0,16.0,10.0,14.0,0.0,inf,1.0,4.0
2.0,16.0,11.0,15.0,0.0,inf,1.0,4.0
2.0,16.0,12.0,19.0,0.0,inf,1.0,4.0
2.0,16.0,13.0,15.0,0.0,inf,1.0,4.0
2.0,16.0,14.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,15.0,15.0,0.0,inf,1.0,4.0
2.0,16.0,16.0,15.0,0.0,inf,1.0,4.0
2.0,16.0,17.0,12.0,0.0,inf,1.0,4.0
2.0,16.0,18.0,23.0,0.0,inf,1.0,4.0
2.0,16.0,19.0,21.0,0.0,inf,1.0,4.0
2.0,16.0,20.0,26.0,0.0,inf,1.0,4.0
2.0,16.0,21.0,28.0,0.0,inf,1.0,4.0
2.0,16.0,22.0,23.0,0.0,inf,1.0,4.0
2.0,16.0,23.0,16.0,0.0,inf,1.0,4.0
2.0,16.0,24.0,11.0,0.0,inf,1.0,4.0
2.0,16.0,25.0,20.0,0.0,inf,1.0,4.0
2.0,16.0,26.0,23.0,0.0,inf,1.0,4.0
2.0,16.0,27.0,23.0,0.0,inf,1.0,4.0
2.0,16.0,28.0,22.0,0.0,inf,1.0,4.0
2.0,16.0,29.0,34.0,0.0,inf,1.0,4.0
2.0,16.0,30.0,18.0,0.0,inf,1.0,4.0
2.0,16.0,31.0,14.0,0.0,inf,1.0,4.0
2.0,16.0,32.0,29.0,0.0,inf,1.0,4.0
2.0,16.0,33.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,34.0,23.0,0.0,inf,1.0,4.0
2.0,16.0,35.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,36.0,28.0,0.0,inf,1.0,4.0
2.0,16.0,37.0,27.0,0.0,inf,1.0,4.0
2.0,16.0,38.0,37.0,14.0,0.01609768326049192,1.0,4.0
2.0,16.0,39.0,15.0,0.0,inf,1.0,4.0
2.0,16.0,40.0,16.0,0.0,inf,1.0,4.0
2.0,16.0,41.0,16.0,0.0,inf,1.0,4.0
2.0,16.0,42.0,30.0,0.0,inf,1.0,4.0
2.0,16.0,43.0,19.0,0.0,inf,1.0,4.0
2.0,16.0,44.0,12.0,10.0,0.0208309739826023,1.0,4.0
2.0,16.0,45.0,15.0,0.0,inf,1.0,4.0
2.0,16.0,46.0,14.0,0.0,inf,1.0,4.0
2.0,16.0,47.0,15.0,0.0,inf,1.0,4.0
2.0,16.0,48.0,14.0,0.0,inf,1.0,4.0
2.0,16.0,49.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,50.0,11.0,0.0,inf,1.0,4.0
2.0,16.0,51.0,10.0,0.0,inf,1.0,4.0
2.0,16.0,52.0,22.0,0.0,inf,1.0,4.0
2.0,16.0,53.0,13.0,0.0,inf,1.0,4.0
2.0,16.0,54.0,25.0,0.0,inf,1.0,4.0
2.0,16.0,55.0,20.0,0.0,inf,1.0,4.0
2.0,16.0,56.0,18.0,0.0,inf,1.0,4.0
2.0,16.0,57.0,22.0,0.0,inf,1.0,4.0
2.0,16.0,58.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,59.0,19.0,0.0,inf,1.0,4.0
2.0,16.0,60.0,22.0,0.0,inf,1.0,4.0
2.0,16.0,61.0,29.0,0.0,inf,1.0,4.0
2.0,16.0,62.0,17.0,0.0,inf,1.0,4.0
2.0,16.0,63.0,27.0,0.0,inf,1.0,4.0
2.0,16.0,64.0,21.0,0.0,inf,1.0,4.0
2.0,16.0,65.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,66.0,23.0,0.0,inf,1.0,4.0
2.0,16.0,67.0,29.0,0.0,inf,1.0,4.0
2.0,16.0,68.0,21.0,0.0,inf,1.0,4.0
2.0,16.0,69.0,20.0,0.0,inf,1.0,4.0
2.0,16.0,70.0,20.0,0.0,inf,1.0,4.0
2.0,16.0,71.0,22.0,0.0,inf,1.0,4.0
2.0,16.0,72.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,73.0,13.0,0.0,inf,1.0,4.0
2.0,16.0,74.0,12.0,0.0,inf,1.0,4.0
2.0,16.0,75.0,23.0,0.0,inf,1.0,4.0
2.0,16.0,76.0,28.0,0.0,inf,1.0,4.0
2.0,16.0,77.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,78.0,25.0,0.0,inf,1.0,4.0
2.0,16.0,79.0,11.0,0.0,inf,1.0,4.0
2.0,16.0,80.0,11.0,0.0,inf,1.0,4.0
2.0,16.0,81.0,18.0,0.0,inf,1.0,4.0
2.0,16.0,82.0,19.0,0.0,inf,1.0,4.0
2.0,16.0,83.0,22.0,0.0,inf,1.0,4.0
2.0,16.0,84.0,20.0,0.0,inf,1.0,4.0
2.0,16.0,85.0,43.0,0.0,inf,1.0,4.0
2.0,16.0,86.0,19.0,0.0,inf,1.0,4.0
2.0,16.0,87.0,27.0,0.0,inf,1.0,4.0
2.0,16.0,88.0,22.0,0.0,inf,1.0,4.0
2.0,16.0,89.0,30.0,0.0,inf,1.0,4.0
2.0,16.0,90.0,14.0,0.0,inf,1.0,4.0
2.0,16.0,91.0,26.0,0.0,inf,1.0,4.0
2.0,16.0,92.0,21.0,0.0,inf,1.0,4.0
2.0,16.0,93.0,24.0,0.0,inf,1.0,4.0
2.0,16.0,94.0,29.0,0.0,inf,1.0,4.0
2.0,16.0,95.0,13.0,0.0,inf,1.0,4.0
2.0,16.0,96.0,25.0,0.0,inf,1.0,4.0
3.0,13.0,0.0,34.0,12.0,0.8392632103498752,1.0,4.0
3.0,13.0,1.0,13.0,9.0,0.8380188307113253,1.0,4.0
3.0,13.0,2.0,16.0,0.0,inf,1.0,4.0
3.0,13.0,3.0,12.0,12.0,0.00047835733649211445,1.0,4.0
3.0,13.0,4.0,19.0,11.0,0.7132977903374809,1.0,4.0
3.0,13.0,5.0,29.0,13.0,0.6725070540263669,1.0,4.0
3.0,13.0,6.0,31.0,12.0,0.9072672932784488,1.0,4.0
3.0,13.0,7.0,24.0,10.0,0.7871212405780641,1.0,4.0
3.0,13.0,8.0,24.0,0.0,inf,1.0,4.0
3.0,13.0,9.0,16.0,10.0,0.6205289230276916,1.0,4.0
3.0,13.0,10.0,14.0,9.0,0.7424100054432762,1.0,4.0
3.0,13.0,11.0,15.0,9.0,0.6829860851139004,1.0,4.0
3.0,13.0,12.0,19.0,10.0,0.727351327129761,1.0,4.0
3.0,13.0,13.0,15.0,8.0,0.7062918219046062,1.0,4.0
3.0,13.0,14.0,24.0,10.0,0.7520411460860471,1.0,4.0
3.0,13.0,15.0,15.0,9.0,0.7751847093152373,1.0,4.0
3.0,13.0,16.0,15.0,10.0,0.7834895269064359,1.0,4.0
3.0,13.0,17.0,12.0,9.0,0.7766267282547159,1.0,4.0
3.0,13.0,18.0,23.0,10.0,0.9421267980547547,1.0,4.0
