nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0.0,31.0,65.0,24.0,5.0,0.1032328437987191,0.2,4.0
0.0,31.0,66.0,23.0,4.0,0.15390638555727582,0.2,4.0
0.0,31.0,67.0,29.0,5.0,0.10920150839237146,0.2,4.0
0.0,31.0,68.0,21.0,4.0,0.16795235858635968,0.2,4.0
0.0,31.0,69.0,20.0,4.0,0.12206893019538165,0.2,4.0
0.0,31.0,70.0,20.0,3.0,0.07068378724376204,0.2,4.0
0.0,31.0,71.0,22.0,3.0,0.0575188385864006,0.2,4.0
0.0,31.0,72.0,24.0,3.0,0.04155897964379029,0.2,4.0
0.0,31.0,73.0,13.0,3.0,0.08257760516241802,0.2,4.0
0.0,31.0,74.0,12.0,3.0,0.11737464631752914,0.2,4.0
0.0,31.0,75.0,23.0,4.0,0.07806528041331684,0.2,4.0
0.0,31.0,76.0,28.0,3.0,0.13269721620424035,0.2,4.0
0.0,31.0,77.0,24.0,3.0,0.07328080521469442,0.2,4.0
0.0,31.0,78.0,25.0,4.0,0.11177854722598113,0.2,4.0
0.0,31.0,79.0,11.0,3.0,0.16331884254439152,0.2,4.0
0.0,31.0,80.0,11.0,3.0,0.08416907097987411,0.2,4.0
0.0,31.0,81.0,18.0,4.0,0.12893606416461567,0.2,4.0
0.0,31.0,82.0,19.0,4.0,0.09426293380375586,0.2,4.0
0.0,31.0,83.0,22.0,4.0,0.12898244312399318,0.2,4.0
0.0,31.0,84.0,20.0,5.0,0.11149120150433739,0.2,4.0
0.0,31.0,85.0,43.0,4.0,0.09135931946040642,0.2,4.0
0.0,31.0,86.0,19.0,3.0,0.05275781016506657,0.2,4.0
0.0,31.0,87.0,27.0,4.0,0.11850170837473192,0.2,4.0
0.0,31.0,88.0,22.0,3.0,0.06539180462322107,0.2,4.0
0.0,31.0,89.0,30.0,4.0,0.1257680020396942,0.2,4.0
0.0,31.0,90.0,14.0,3.0,0.10075694135784115,0.2,4.0
0.0,31.0,91.0,26.0,4.0,0.0564961774149251,0.2,4.0
0.0,31.0,92.0,21.0,3.0,0.03929210048017472,0.2,4.0
0.0,31.0,93.0,24.0,4.0,0.043828053368626316,0.2,4.0
0.0,31.0,94.0,29.0,5.0,0.12307978113291279,0.2,4.0
0.0,31.0,95.0,13.0,3.0,0.0896646733844368,0.2,4.0
0.0,31.0,96.0,25.0,4.0,0.08996757989621358,0.2,4.0
1.0,13.0,0.0,34.0,4.0,0.11490064057136526,0.2,4.0
1.0,13.0,1.0,13.0,12.0,0.004861312785516915,0.2,4.0
1.0,13.0,2.0,16.0,0.0,inf,0.2,4.0
1.0,13.0,3.0,12.0,3.0,0.05913972266250346,0.2,4.0
1.0,13.0,4.0,19.0,3.0,0.0970528915905135,0.2,4.0
1.0,13.0,5.0,29.0,4.0,0.1523504099585147,0.2,4.0
1.0,13.0,6.0,31.0,3.0,0.036373110569168546,0.2,4.0
1.0,13.0,7.0,24.0,3.0,0.12709924747003273,0.2,4.0
1.0,13.0,8.0,24.0,0.0,inf,0.2,4.0
1.0,13.0,9.0,16.0,3.0,0.10752162668619131,0.2,4.0
1.0,13.0,10.0,14.0,3.0,0.08890095788187968,0.2,4.0
1.0,13.0,11.0,15.0,3.0,0.15331106559819413,0.2,4.0
1.0,13.0,12.0,19.0,3.0,0.12905829852480583,0.2,4.0
1.0,13.0,13.0,15.0,3.0,0.1286608436657493,0.2,4.0
1.0,13.0,14.0,24.0,3.0,0.16035662880441348,0.2,4.0
1.0,13.0,15.0,15.0,3.0,0.09831775295114235,0.2,4.0
1.0,13.0,16.0,15.0,3.0,0.08818815560413114,0.2,4.0
1.0,13.0,17.0,12.0,3.0,0.10926105671903993,0.2,4.0
1.0,13.0,18.0,23.0,4.0,0.1300741056358464,0.2,4.0
