,subnube1,tamaño_subnube1,subnube2,tamaño_subnube2,matcheos,overlap,rmse,radio,giros,nube_completa
0,0,5,5,6,2,4,0.07983287162091945,0.4,4,26
0,0,5,5,6,2,4,0.07983287162091945,0.5,4,26
0,0,5,5,6,4,4,0.624451303639301,1.0,4,26
0,1,5,1,5,5,5,1.5804425163536978e-15,0.1,4,26
0,1,5,1,5,5,5,1.5804425163536978e-15,0.2,4,26
0,1,5,1,5,5,5,1.5804425163536978e-15,0.3,4,26
0,1,5,1,5,5,5,1.5804425163536978e-15,0.4,4,26
0,1,5,1,5,5,5,1.5804425163536978e-15,0.5,4,26
0,1,5,1,5,5,5,1.759932263766821e-15,1.0,4,26
0,1,5,2,5,4,4,5.488309788105658e-16,0.1,4,26
0,1,5,2,5,4,4,5.488309788105658e-16,0.2,4,26
0,1,5,2,5,4,4,5.488309788105658e-16,0.3,4,26
0,1,5,2,5,4,4,5.488309788105658e-16,0.4,4,26
0,1,5,2,5,4,4,5.488309788105658e-16,0.5,4,26
0,1,5,2,5,4,4,0.5623979463860681,1.0,4,26
0,1,5,3,6,4,4,2.697507058433908e-16,0.1,4,26
0,1,5,3,6,4,4,2.697507058433908e-16,0.2,4,26
0,1,5,3,6,4,4,2.173482218541311e-16,0.3,4,26
0,1,5,3,6,4,4,2.697507058433908e-16,0.4,4,26
0,1,5,3,6,4,4,2.697507058433908e-16,0.5,4,26
0,1,5,3,6,5,4,0.4685890250823022,1.0,4,26
0,1,5,4,6,4,4,9.380684388862717e-16,0.1,4,26
0,1,5,4,6,4,4,9.380684388862717e-16,0.2,4,26
0,1,5,4,6,4,4,9.380684388862717e-16,0.3,4,26
0,1,5,4,6,4,4,9.380684388862717e-16,0.4,4,26
0,1,5,4,6,4,4,9.380684388862717e-16,0.5,4,26
0,1,5,4,6,4,4,0.531767238361918,1.0,4,26
0,1,5,5,6,4,4,5.488309788105658e-16,0.1,4,26
0,1,5,5,6,4,4,5.488309788105658e-16,0.2,4,26
0,1,5,5,6,4,4,5.488309788105658e-16,0.3,4,26
0,1,5,5,6,4,4,5.488309788105658e-16,0.4,4,26
0,1,5,5,6,4,4,5.488309788105658e-16,0.5,4,26
0,1,5,5,6,4,4,0.5623979463860681,1.0,4,26
0,2,5,2,5,5,5,1.8535994241942773e-15,0.1,4,26
0,2,5,2,5,5,5,1.7687897003052195e-15,0.2,4,26
0,2,5,2,5,5,5,1.8535994241942773e-15,0.3,4,26
0,2,5,2,5,5,5,1.7687897003052195e-15,0.4,4,26
0,2,5,2,5,5,5,1.7687897003052195e-15,0.5,4,26
0,2,5,2,5,5,5,1.8535994241942773e-15,1.0,4,26
0,2,5,3,6,4,4,2.8195017801861643e-15,0.1,4,26
0,2,5,3,6,4,4,2.8195017801861643e-15,0.2,4,26
0,2,5,3,6,4,4,2.8195017801861643e-15,0.3,4,26
0,2,5,3,6,4,4,2.8195017801861643e-15,0.4,4,26
0,2,5,3,6,4,4,2.8195017801861643e-15,0.5,4,26
0,2,5,3,6,4,4,2.8195017801861643e-15,1.0,4,26
0,2,5,4,6,4,4,9.903992297134496e-16,0.1,4,26
0,2,5,4,6,4,4,9.903992297134496e-16,0.2,4,26
0,2,5,4,6,4,4,9.903992297134496e-16,0.3,4,26
0,2,5,4,6,4,4,9.903992297134496e-16,0.4,4,26
0,2,5,4,6,4,4,9.903992297134496e-16,0.5,4,26
0,2,5,4,6,5,4,0.45358721021895654,1.0,4,26
0,2,5,5,6,5,5,8.662003983089358e-16,0.1,4,26
0,2,5,5,6,5,5,1.8535994241942773e-15,0.2,4,26
0,2,5,5,6,5,5,1.8535994241942773e-15,0.3,4,26
0,2,5,5,6,5,5,1.8535994241942773e-15,0.4,4,26
0,2,5,5,6,5,5,1.8535994241942773e-15,0.5,4,26
0,2,5,5,6,5,5,1.8535994241942773e-15,1.0,4,26
0,3,6,3,6,6,6,1.4611189989789542e-15,0.1,4,26
0,3,6,3,6,6,6,1.543845769064554e-15,0.2,4,26
0,3,6,3,6,6,6,1.4611189989789542e-15,0.3,4,26
0,3,6,3,6,6,6,1.4611189989789542e-15,0.4,4,26
0,3,6,3,6,6,6,1.5026345883507799e-15,0.5,4,26
0,3,6,3,6,6,6,1.4611189989789542e-15,1.0,4,26
0,3,6,4,6,5,5,1.5821194703690556e-15,0.1,4,26
0,3,6,4,6,5,5,1.42547998930656e-15,0.2,4,26
0,3,6,4,6,5,5,1.5821194703690556e-15,0.3,4,26
0,3,6,4,6,5,5,1.5328933550293594e-15,0.4,4,26
0,3,6,4,6,5,5,1.5821194703690556e-15,0.5,4,26
0,3,6,4,6,6,5,0.8159811746456241,1.0,4,26
0,3,6,5,6,5,5,1.2820929013571174e-15,0.1,4,26
