,track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
38,19,0,keypoint,-2.45706,0.813106,41.2732,VID_20220324_104713_F0.png,872,564,0.0,0.0,0.0,871.973,564.113,0.116328,907.304,553.203,,
39,19,1,keypoint,-2.45706,0.813106,41.2732,VID_20220324_104713_F-1.png,902,551,0.0,0.0,0.0,901.986,550.851,0.149558,871.665,551.157,,
40,20,0,val_1,-0.897797,6.13513,41.184,VID_20220324_104713_F0.png,930,750,0.0,0.0,0.0,929.929,749.391,0.612946,935.329,714.956,2.10237,
41,20,1,val_1,-0.897797,6.13513,41.184,VID_20220324_104713_F-1.png,942,703,0.0,0.0,0.0,941.976,702.199,0.801747,911.028,698.31,2.10237,
42,21,0,val_1,-0.810511,8.19259,40.7607,VID_20220324_104713_F0.png,933,826,0.0,0.0,0.0,932.87,823.956,2.04795,936.58,788.964,,
43,21,1,val_1,-0.810511,8.19259,40.7607,VID_20220324_104713_F-1.png,938,765,0.0,0.0,0.0,937.902,763.936,1.06813,906.928,758.374,,
44,22,0,keypoint,1.17075,8.09686,40.9155,VID_20220324_104713_F0.png,1008,822,0.0,0.0,0.0,1007.36,819.513,2.56772,1001.99,784.843,,
45,22,1,keypoint,1.17075,8.09686,40.9155,VID_20220324_104713_F-1.png,987,763,0.0,0.0,0.0,986.621,762.291,0.803949,954.746,757.005,,
46,23,0,keypoint,1.05581,6.06022,41.344,VID_20220324_104713_F0.png,1003,747,0.0,0.0,0.0,1002.64,745.968,1.09397,996.261,711.815,,
47,23,1,keypoint,1.05581,6.06022,41.344,VID_20220324_104713_F-1.png,990,700,0.0,0.0,0.0,989.805,699.573,0.469777,958.016,695.925,,
48,24,0,keypoint,-1.65026,-10.0917,41.3114,VID_20220324_104713_F0.png,902,183,0.0,0.0,0.0,902.055,185.747,2.74752,908.055,219.987,,
49,24,1,keypoint,-1.65026,-10.0917,41.3114,VID_20220324_104713_F-1.png,903,240,0.0,0.0,0.0,903.072,242.264,2.26546,874.343,251.077,,
50,25,0,keypoint,-1.5805,-7.99426,41.5996,VID_20220324_104713_F0.png,905,259,0.0,0.0,0.0,905.056,260.44,1.44108,912.217,294.24,,
51,25,1,keypoint,-1.5805,-7.99426,41.5996,VID_20220324_104713_F-1.png,914,300,0.0,0.0,0.0,914.012,301.307,1.30691,884.8,308.538,,
52,26,0,keypoint,0.411435,-8.12001,41.7321,VID_20220324_104713_F0.png,979,255,0.0,0.0,0.0,978.556,256.996,2.0445,976.693,291.297,,
53,26,1,keypoint,0.411435,-8.12001,41.7321,VID_20220324_104713_F-1.png,960,286,0.0,0.0,0.0,959.746,287.048,1.078,929.759,294.38,,
54,27,0,keypoint,0.322932,-10.2236,41.4256,VID_20220324_104713_F0.png,976,179,0.0,0.0,0.0,975.386,182.15,3.20938,974.216,216.732,,
55,27,1,keypoint,0.322932,-10.2236,41.4256,VID_20220324_104713_F-1.png,948,224,0.0,0.0,0.0,947.732,226.343,2.35792,918.215,235.243,,
56,28,0,cal_1,4.98876,5.94048,41.4443,VID_20220324_104713_F0.png,1150,743,0.0,0.0,0.0,1148.3,741.319,2.38858,1124.47,714.835,,
57,28,1,cal_1,4.98876,5.94048,41.4443,VID_20220324_104713_F-1.png,1090,696,0.0,0.0,0.0,1089.24,695.347,0.999155,1055.53,692.098,,
58,29,0,cal_2,5.08494,8.03782,41.4882,VID_20220324_104713_F0.png,1154,816,0.0,0.0,0.0,1151.67,813.558,3.37649,1131.88,784.363,,
59,29,1,cal_2,5.08494,8.03782,41.4882,VID_20220324_104713_F-1.png,1098,764,0.0,0.0,0.0,1096.85,762.041,2.27154,1063.23,757.197,,
60,30,0,keypoint,7.0551,7.91588,41.52,VID_20220324_104713_F0.png,1228,813,0.0,0.0,0.0,1224.41,809.136,5.27562,1199.79,783.365,,
61,30,1,keypoint,7.0551,7.91588,41.52,VID_20220324_104713_F-1.png,1153,761,0.0,0.0,0.0,1151.06,759.76,2.30605,1116.36,755.149,,
62,31,0,keypoint,6.96202,5.82182,41.5027,VID_20220324_104713_F0.png,1224,739,0.0,0.0,0.0,1221.07,736.932,3.58499,1192.68,714.778,,
