,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
3421,55.0,24.0,11.0,21.0,5.0,0.298337835407328,0.4,4.0
3422,55.0,24.0,12.0,18.0,0.0,inf,0.4,4.0
3423,55.0,24.0,13.0,16.0,5.0,0.27983847687607993,0.4,4.0
3424,55.0,24.0,14.0,7.0,4.0,0.22228419904739657,0.4,4.0
3425,55.0,24.0,15.0,12.0,4.0,0.09809990705780333,0.4,4.0
3426,55.0,24.0,16.0,15.0,5.0,0.23883903900789247,0.4,4.0
3427,55.0,24.0,17.0,14.0,5.0,0.2107458993208224,0.4,4.0
3428,55.0,24.0,18.0,13.0,5.0,0.2659293372950295,0.4,4.0
3429,55.0,24.0,19.0,13.0,5.0,0.2728813287312078,0.4,4.0
3430,55.0,24.0,20.0,8.0,3.0,0.05618110652225745,0.4,4.0
3431,55.0,24.0,21.0,9.0,4.0,0.16606929691978511,0.4,4.0
3432,55.0,24.0,22.0,9.0,5.0,0.2827732492289301,0.4,4.0
3433,55.0,24.0,23.0,17.0,5.0,0.21464399631163655,0.4,4.0
3434,55.0,24.0,24.0,8.0,4.0,0.223476631497229,0.4,4.0
3435,55.0,24.0,25.0,15.0,5.0,0.24566564148227363,0.4,4.0
3436,55.0,24.0,26.0,7.0,4.0,0.16651936508957038,0.4,4.0
3437,55.0,24.0,27.0,7.0,3.0,0.18682854689603623,0.4,4.0
3438,55.0,24.0,28.0,7.0,4.0,0.24487991447761165,0.4,4.0
3439,55.0,24.0,29.0,15.0,0.0,inf,0.4,4.0
3440,55.0,24.0,30.0,8.0,0.0,inf,0.4,4.0
3441,55.0,24.0,31.0,14.0,5.0,0.18202974227153865,0.4,4.0
3442,55.0,24.0,32.0,18.0,6.0,0.20809942155548522,0.4,4.0
3443,55.0,24.0,33.0,11.0,4.0,0.2559242593942289,0.4,4.0
3444,55.0,24.0,34.0,10.0,4.0,0.11362642702323786,0.4,4.0
3445,55.0,24.0,35.0,11.0,4.0,0.18152684150713388,0.4,4.0
3446,55.0,24.0,36.0,15.0,5.0,0.3149692273171336,0.4,4.0
3447,55.0,24.0,37.0,12.0,5.0,0.2031629724230158,0.4,4.0
3448,55.0,24.0,38.0,10.0,0.0,inf,0.4,4.0
3449,55.0,24.0,39.0,11.0,5.0,0.21248016698799077,0.4,4.0
3450,55.0,24.0,40.0,14.0,5.0,0.2240276805360856,0.4,4.0
3451,55.0,24.0,41.0,11.0,4.0,0.1978660663482624,0.4,4.0
3452,55.0,24.0,42.0,17.0,6.0,0.27764163927863905,0.4,4.0
3453,55.0,24.0,43.0,15.0,5.0,0.2585817686540616,0.4,4.0
3454,55.0,24.0,44.0,17.0,5.0,0.3033388011116271,0.4,4.0
3455,55.0,24.0,45.0,18.0,6.0,0.2490043731480698,0.4,4.0
3456,55.0,24.0,46.0,11.0,4.0,0.3392673654224569,0.4,4.0
